,Collaborative,Description,Followers,Name,Tracks,URL,href,id
1150,False,"Special songs to show Mom how much you care. <a href =""https://www.everymothercounts.org/"">Every Mother Counts</a>!",16985,Mother's Day Love,30,https://open.spotify.com/playlist/37i9dQZF1DWSoTL04mwiZp,https://api.spotify.com/v1/playlists/37i9dQZF1DWSoTL04mwiZp,37i9dQZF1DWSoTL04mwiZp
1151,False,"Some soulful sets from Ye plus contributions to soul. Please enjoy this curated set entitled &quot;Kanye To The&quot;. (1,2,3, rest)",765,Kanye To The,40,https://open.spotify.com/playlist/6Sz7KT9MhChZuAJDKEWiLF,https://api.spotify.com/v1/playlists/6Sz7KT9MhChZuAJDKEWiLF,6Sz7KT9MhChZuAJDKEWiLF
1152,False,"What artists have been your favorite new finds this year? Check out a sampling of our favorites here, and don’t forget to check back for updates! For your own list, head over to <a href=""http://spoti.fi/1JQhkfk"">http://spoti.fi/1JQhkfk</a> ",32647,Found Them First,20,https://open.spotify.com/playlist/3sJ6SlgRo56Oa7YhHcLK5l,https://api.spotify.com/v1/playlists/3sJ6SlgRo56Oa7YhHcLK5l,3sJ6SlgRo56Oa7YhHcLK5l
1153,False,Congrats to all the winners this year at the AMAs!,3287,AMA Winners 2014,16,https://open.spotify.com/playlist/37i9dQZF1DX3JLmmala1kX,https://api.spotify.com/v1/playlists/37i9dQZF1DX3JLmmala1kX,37i9dQZF1DX3JLmmala1kX
1154,False,A toast to all the artists who will be performing on New Year&#x27;s Eve across the globe.,60,New Year's 2015,41,https://open.spotify.com/playlist/2FjbiwWYHqEifO3VY5LYP8,https://api.spotify.com/v1/playlists/2FjbiwWYHqEifO3VY5LYP8,2FjbiwWYHqEifO3VY5LYP8
1155,False,Try these smooth hip hop tracks to ease into the morning.,27586,Morning Boost,28,https://open.spotify.com/playlist/37i9dQZF1DXbZ55Ax8F2GW,https://api.spotify.com/v1/playlists/37i9dQZF1DXbZ55Ax8F2GW,37i9dQZF1DXbZ55Ax8F2GW
1156,False,Want to power up your morning? Grab the beats to go.,320,Mustard On The Beats,16,https://open.spotify.com/playlist/37i9dQZF1DX3HHskiFSgKu,https://api.spotify.com/v1/playlists/37i9dQZF1DX3HHskiFSgKu,37i9dQZF1DX3HHskiFSgKu
1157,False,"Grab your food, turn on the easy hip-hop and enjoy.",202,A Bite Out Of The Afternoon,23,https://open.spotify.com/playlist/3uDgik1xOhjYVsXucW7GEb,https://api.spotify.com/v1/playlists/3uDgik1xOhjYVsXucW7GEb,3uDgik1xOhjYVsXucW7GEb
1158,False,The ultimate playlist to get you ready for a fun night out with your girlfriends.,1241,Girls Night Out,48,https://open.spotify.com/playlist/1Bxi8UJlVM7tLYDMOqsYYF,https://api.spotify.com/v1/playlists/1Bxi8UJlVM7tLYDMOqsYYF,1Bxi8UJlVM7tLYDMOqsYYF
1159,False,Pre-game music to get you pumped up before heading out for the night.,735,Power Hour,38,https://open.spotify.com/playlist/7wiCMbRM2F6PQYGLwnJ7GJ,https://api.spotify.com/v1/playlists/7wiCMbRM2F6PQYGLwnJ7GJ,7wiCMbRM2F6PQYGLwnJ7GJ
