Playlist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,artist_popularity,explicit,pop,rock,folk,mellow,indie,rap,house,r&b,stomp and holler,singer-songwriter,edm,quiet storm,contemporary,christmas,funk,metal,alternative,adult standards,americana,soul,blues,hip hop,motown,punk,disco,other,track_remast,track_live,track_feat,track_remix,track_radio,playlist_picks,playlist_top,playlist_find,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,Followers
0COE1X7FirWRdfOgls1JJV,0.16326574000000008,0.6567200000000001,276216.16,0.6835600000000001,0.023965030600000003,0.19357000000000002,-8.331019999999999,34.2,0.053024000000000016,118.51766000000002,0.58992,58.06,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,493.0
0DH66SG2vZ7dIocTxxA5q9,0.6756968749999999,0.5055,302780.84375,0.34369062499999997,0.3520517968749999,0.15021250000000003,-14.171781250000004,5.4375,0.043815625000000004,114.62993749999998,0.38058437500000003,26.34375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.0
0FXAO6yBxrfz5PTOEuvq67,0.18650108000000004,0.6514200000000002,259062.06,0.66762,0.024871480999999994,0.25473799999999985,-9.157860000000001,35.04,0.04371199999999998,121.71198,0.6711600000000001,65.6,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,484.0
0JvFNpF6sn3LeV5LXbbSxv,0.13419826799999998,0.65908,246848.92,0.71902,0.002085873,0.149322,-6.430180000000003,25.9,0.06358199999999999,120.24665999999999,0.6386,69.58,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,715.0
0KIKHBXChX4m2MVm8qQk6N,0.14367088,0.6655,247754.88,0.7164,0.015649013599999997,0.19566999999999996,-5.653440000000001,31.24,0.12625400000000003,125.82056,0.6075400000000001,74.1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6170.0
0LqjAibgbS9ep32zZrDcAN,0.14197655714285717,0.6643428571428571,241451.82857142857,0.7254285714285716,0.03852825385714285,0.18084428571428568,-6.331199999999998,38.614285714285714,0.09921285714285716,118.07141428571431,0.5882214285714287,68.05714285714286,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5817.0
0NKCe5F0ORuDO4sPmqhvcQ,0.18881514285714288,0.6914999999999998,213480.42857142858,0.6340714285714285,0.025461787142857146,0.1872785714285714,-6.563714285714286,61.5,0.17042142857142856,113.61678571428573,0.4261428571428571,66.92857142857143,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,24024.0
0NYlvGXveeyvhb5G80LPtA,0.19454732727272733,0.6014242424242422,207750.15151515152,0.7624848484848483,0.06518225696969697,0.3168848484848485,-6.445818181818181,14.878787878787879,0.06769090909090907,125.90566666666666,0.6554545454545456,40.09090909090909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,162.0
0NfjMqrzcGKVsbYZmhf4Md,0.748582,0.6104999999999998,157789.64,0.38276000000000004,0.008382121999999999,0.186466,-11.114939999999999,20.96,0.03636,123.46194000000003,0.7356,40.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2279.0
0RTz1jFo5BXGPfI8eVf8sj,0.14230633500000006,0.6726800000000002,225373.21,0.7294000000000003,0.0021323933,0.1775430000000001,-6.020880000000002,62.44,0.087272,121.88777,0.6335330000000002,75.26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,47.0
0TmNZR8QmL60k1gWWa37fg,0.16648225,0.57175,207206.2142857143,0.7575000000000002,0.0003183510714285715,0.25172142857142865,-5.642785714285714,37.392857142857146,0.07849642857142858,113.71646428571425,0.6006857142857144,59.892857142857146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,398.0
0Tn4EK4iKI58XnvWHuMMm0,0.9242542372881356,0.21858305084745766,368538.0,0.06653915254237289,0.8141016949152542,0.11491864406779663,-26.028050847457628,22.677966101694917,0.04543220338983052,94.9174745762712,0.09823050847457623,61.3728813559322,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,769.0
0UUovM2yGwRThZSy9BvADQ,0.3720051000000001,0.6175100000000001,244449.23,0.58294,0.0474628014,0.16093899999999997,-9.584329999999998,25.43,0.062165999999999985,114.06943999999997,0.6968730000000001,54.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,162.0
0XDRWlx2B1C1OXlaLlld8t,0.0041527769230769234,0.4703846153846154,242471.46153846153,0.8846153846153846,0.028581064230769226,0.16895384615384618,-5.259884615384616,40.92307692307692,0.05804615384615385,116.07665384615385,0.5350384615384615,72.3076923076923,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,648.0
